eps \ n,"n=1,000","n=5,000","n=10,000","n=50,000","n=100,000"
eps=0.1,5921,7301,7895,9275,9869
eps=0.2,1595,1966,2126,2497,2657
eps=0.3,768,947,1024,1203,1280
eps=0.4,471 [OK],581,628,738,785
eps=0.5,332 [OK],409 [OK],443 [OK],520,553
